HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31Z0PCVWUOXCA7NAZDXQRKHE6F7T7T,A34Z9QBE5J24HM,Submitted,Sun Nov 24 06:45:34 PST 2019,Sun Nov 24 06:48:41 PST 2019,Mon Nov 25 06:48:41 PST 2019,187,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":149,""label"":""Car"",""left"":145,""top"":431,""width"":399}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,320DUZ38GB41PX26GMNGVR7Y7GOJG6,A10Y4I2Z2DGF3V,Submitted,Sat Nov 23 23:26:45 PST 2019,Sat Nov 23 23:27:09 PST 2019,Sun Nov 24 23:27:09 PST 2019,24,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":159,""label"":""Car"",""left"":133,""top"":420,""width"":421}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,323Q6SJS8MYZKRBLH2ED1TR7T9BFHP,A3MPUWHP90D17P,Submitted,Sat Nov 23 21:36:23 PST 2019,Sat Nov 23 21:37:25 PST 2019,Sun Nov 24 21:37:25 PST 2019,62,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":156,""label"":""Car"",""left"":145,""top"":426,""width"":398}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,323Q6SJS8MYZKRBLH2ED1TR7T9NHF3,A2A3T1M3EL7UY2,Submitted,Sun Nov 24 01:53:26 PST 2019,Sun Nov 24 01:53:40 PST 2019,Mon Nov 25 01:53:40 PST 2019,14,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":161,""label"":""Car"",""left"":148,""top"":428,""width"":406}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,323Q6SJS8MYZKRBLH2ED1TR7T9WFHA,AVJLU2RW9PQFH,Submitted,Sun Nov 24 07:00:57 PST 2019,Sun Nov 24 07:02:32 PST 2019,Mon Nov 25 07:02:32 PST 2019,95,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":154,""label"":""Car"",""left"":147,""top"":426,""width"":397}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,324G5B4FB7QBUYQJ1B9G79F994O709,A3D81W0R9UOJP2,Submitted,Sat Nov 23 20:30:45 PST 2019,Sat Nov 23 20:31:53 PST 2019,Sun Nov 24 20:31:53 PST 2019,68,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":160,""label"":""Car"",""left"":136,""top"":425,""width"":412}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,32M8BPYGAX45UMI0Y42GJQSYU1ZIGT,AM7TAVQUJQXGM,Submitted,Sat Nov 23 23:13:18 PST 2019,Sat Nov 23 23:14:03 PST 2019,Sun Nov 24 23:14:03 PST 2019,45,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":137,""label"":""Car"",""left"":144,""top"":433,""width"":401},{""height"":8,""label"":""Car"",""left"":322,""top"":433,""width"":8}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,3300DTYQT6ZKR6AS5HH1SPY88V9QEV,A1V9MN88VQ1LEB,Submitted,Sun Nov 24 05:22:59 PST 2019,Sun Nov 24 05:23:20 PST 2019,Mon Nov 25 05:23:20 PST 2019,21,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":157,""label"":""Car"",""left"":147,""top"":425,""width"":398}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,3300DTYQT6ZKR6AS5HH1SPY88VDQEZ,A2MHSOKJSLELL,Submitted,Sun Nov 24 07:04:45 PST 2019,Sun Nov 24 07:06:26 PST 2019,Mon Nov 25 07:06:26 PST 2019,101,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":162,""label"":""Car"",""left"":136,""top"":412,""width"":420}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,3300DTYQT6ZKR6AS5HH1SPY88VQEQ0,A1MYCZT6OX9G20,Submitted,Sat Nov 23 20:30:47 PST 2019,Sat Nov 23 20:32:19 PST 2019,Sun Nov 24 20:32:19 PST 2019,92,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":150,""label"":""Car"",""left"":146,""top"":430,""width"":397}]",683,1024,,
