HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject,bounding_box_score
3V0TR1NRWDK8Q48P1D304JCNLON4A4,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3D8YOU6S9I286KOUG8I8Q23KT6NU6Q,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:31 PST 2019,Wed Nov 20 21:37:41 PST 2019,Sat Nov 23 21:37:41 PST 2019,,,,1090,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11ca5d6eb7a78462.jpg,"[{""""height"""":397,""""label"""":""""Car"""",""""left"""":152,""""top"""":160,""""width"""":842},{""""height"""":7,""""label"""":""""Car"""",""""left"""":586,""""top"""":433,""""width"""":3}]",612,1024,,,21.5700412767831
3YLTXLH3EIO9PK2M535GO3AMPF8PHQ,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,32KTQ2V7RHXCBVLJ5DUYJ2DS6LSM91,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:38 PST 2019,Wed Nov 20 21:40:24 PST 2019,Sat Nov 23 21:40:24 PST 2019,,,,1246,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11cbd39c3b7f1cb0.jpg,"[{""""height"""":161,""""label"""":""""Car"""",""""left"""":420,""""top"""":221,""""width"""":338}]",678,1024,,,32.532708047303
3L1EFR8WXWN4J1V9TOLJZSYU4WE9FI,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3YMU66OBIRQ5YR7GSMKVJERJTCOHGE,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:10 PST 2019,Wed Nov 20 21:31:26 PST 2019,Sat Nov 23 21:31:26 PST 2019,,,,736,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11cc2d6f28ef43e8.jpg,"[{""""height"""":172,""""label"""":""""Car"""",""""left"""":373,""""top"""":331,""""width"""":225}]",768,1024,,,24.14400588092
3FDWKV9VDQK893BTDMKNQE5HEIZUM0,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3ERMJ6L4D2A8XCXQQGWE56MMBV4M7P,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:31 PST 2019,Wed Nov 20 21:38:24 PST 2019,Sat Nov 23 21:38:24 PST 2019,,,,1133,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11f2911acdd13dfc.jpg,"[{""""height"""":239,""""label"""":""""Car"""",""""left"""":352,""""top"""":315,""""width"""":545}]",682,1024,,,13.194468798918
3FW4EL5A4O69INYYKKRX5MWRPMZ22Z,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,34BBWHLWHET1R880D96Y5TEMNDTWIL,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:35 PST 2019,Wed Nov 20 21:39:12 PST 2019,Sat Nov 23 21:39:12 PST 2019,,,,1177,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/120d043fcfb8d619.jpg,"[{""""height"""":328,""""label"""":""""Car"""",""""left"""":154,""""top"""":287,""""width"""":735}]",717,1024,,,11.551976554573
3PIOQ99R814ERLWTPNZN3TUHJ89UN0,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3WAKVUDHU0YRAK2ZZIN0WG3GOH7U7P,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:42 PST 2019,Wed Nov 20 21:41:21 PST 2019,Sat Nov 23 21:41:21 PST 2019,,,,1299,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1242767b37ed4c77.jpg,"[{""""height"""":279,""""label"""":""""Car"""",""""left"""":119,""""top"""":193,""""width"""":442}]",768,1024,,,9.26290594924063
3ZLW647WBODY35UHOK52OW1JV0Z23A,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,37WLF8U1WT8U3OJIMUE6KFUMRFPK6J,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:44 PST 2019,Wed Nov 20 21:42:50 PST 2019,Sat Nov 23 21:42:50 PST 2019,,,,1386,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/125dab7404579318.jpg,"[{""""height"""":151,""""label"""":""""Car"""",""""left"""":163,""""top"""":402,""""width"""":402}]",683,1024,,,7.76772710285441
3V7ICJJA0DYD9EDH7R3WZUWT3684BZ,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3LS2AMNW5J863XNHZVKXX1SMBLBOQ4,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:43 PST 2019,Wed Nov 20 21:42:15 PST 2019,Sat Nov 23 21:42:15 PST 2019,,,,1352,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1271622877a21c47.jpg,"[{""""height"""":49,""""label"""":""""Car"""",""""left"""":158,""""top"""":435,""""width"""":57}]",768,1024,,,993.773535425568
39AYGO6AGI2TPA6ST51KNNG1GMS6NB,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,39LOEL67OWNBB4UZU3J5N79BMOT83I,A2JKM9ZTUWHVPF,Submitted,Wed Nov 20 21:11:42 PST 2019,Wed Nov 20 21:11:56 PST 2019,Sat Nov 23 21:11:56 PST 2019,,,,14,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,"[{""""height"""":248,""""label"""":""""Car"""",""""left"""":341,""""top"""":425,""""width"""":221}]",1024,1024,,,202.870927068876
32TMVRKDHQGU7GFA4FJM8S6SV0N480,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3IOEN3P9SB1SXNXWEK8OF0YNI9P612,A2JKM9ZTUWHVPF,Submitted,Wed Nov 20 21:12:04 PST 2019,Wed Nov 20 21:12:18 PST 2019,Sat Nov 23 21:12:18 PST 2019,,,,14,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,"[{""""height"""":109,""""label"""":""""Car"""",""""left"""":849,""""top"""":382,""""width"""":175}]",576,1024,,,46.4026594382351
